? (nm),%Transmittance
694.37376,101.94688
702.08902,99.64036
709.80429,94.01712
717.51955,94.26197
725.23482,100.36246
732.95008,102.1219
740.66534,100.68704
748.38061,91.42649
756.09587,84.61924
763.81114,93.96419
771.5264,100.48456
779.24166,101.61407
786.95693,101.879
794.67219,101.68557
802.38746,101.07244
810.10272,100.565
817.81798,99.54068
825.53325,99.08417
833.24851,98.39857
840.96378,96.59211
848.67904,99.15229
856.3943,101.32947
864.10957,101.4488
871.82483,101.27656
879.5401,100.78005
887.25536,98.77787
894.97062,96.11261
902.68589,96.69217
910.40115,96.94349
918.11642,98.5057
925.83168,100.72107
933.54694,100.53425
941.26221,98.71038
948.97747,95.82891
956.69274,93.6081
964.408,93.14103
972.12326,95.43671
979.83853,96.17668
987.55379,92.38548
995.26906,94.275
1002.98432,98.91446
1010.69958,98.11406
1018.41485,94.47703
1026.13011,95.29666
1033.84538,92.81139
1041.56064,80.67136
1049.2759,72.93993
1056.99117,80.84636
1064.70643,92.13989
1072.4217,96.55733
1080.13696,95.87193
1087.85222,88.85754
1095.56749,77.53991
1103.28275,77.15399
1110.99802,86.63896
1118.71328,91.76715
1126.42854,95.08204
1134.14381,98.77371
1141.85907,100.22356
1149.57434,99.87924
1157.2896,99.23396
1165.00486,99.56734
1172.72013,99.0621
1180.43539,97.27352
1188.15066,94.64152
1195.86592,89.88889
1203.58118,88.41764
1211.29645,93.22742
1219.01171,98.34127
1226.72698,100.05817
1234.44224,100.36766
1242.1575,99.79431
1249.87277,98.02431
1257.58803,93.96981
1265.3033,88.21003
1273.01856,81.14382
1280.73382,78.16311
1288.44909,84.19299
1296.16435,90.15281
1303.87962,93.18989
1311.59488,94.38035
1319.31014,95.73845
1327.02541,97.31516
1334.74067,95.97367
1342.45594,91.88851
1350.1712,93.18969
1357.88646,96.50307
1365.60173,98.63144
1373.31699,99.72769
1381.03226,99.5914
1388.74752,99.51624
1396.46278,98.68872
1404.17805,96.66599
1411.89331,95.94845
1419.60858,97.28802
1427.32384,95.81523
1435.0391,94.21811
1442.75437,95.27191
1450.46963,96.56562
1458.1849,98.07559
1465.90016,99.27854
1473.61542,100.11407
1481.33069,100.77068
1489.04595,101.09029
1496.76122,101.24042
1504.47648,100.90608
1512.19174,100.91777
1519.90701,101.17126
1527.62227,101.35737
1535.33754,101.38745
1543.0528,101.46511
1550.76806,101.29131
1558.48333,101.22175
1566.19859,100.77713
1573.91386,100.05667
1581.62912,100.43954
1589.34438,101.30481
1597.05965,101.13369
1604.77491,100.18744
1612.49018,99.45018
1620.20544,100.4791
1627.9207,101.13529
1635.63597,101.3273
1643.35123,101.05249
1651.0665,100.8682
1658.78176,100.42459
1666.49702,99.24838
1674.21229,95.97579
1681.92755,93.80154
1689.64282,93.95894
1697.35808,94.49469
1705.07334,95.14643
1712.78861,92.43538
1720.50387,83.38832
1728.21914,83.71548
1735.9344,94.42791
1743.64966,99.49331
1751.36493,100.70026
1759.08019,101.03586
1766.79546,101.33738
1774.51072,101.37093
1782.22598,101.44722
1789.94125,101.33289
1797.65651,101.36955
1805.37178,101.32961
1813.08704,101.42243
1820.8023,101.44743
1828.51757,101.4815
1836.23283,101.45511
1843.9481,101.69128
1851.66336,101.84337
1859.37862,101.85622
1867.09389,101.80662
1874.80915,101.90186
1882.52442,101.90751
1890.23968,101.95119
1897.95494,101.89142
1905.67021,101.80968
1913.38547,101.71595
1921.10074,101.73228
1928.816,101.73462
1936.53126,101.69691
1944.24653,101.46859
1951.96179,101.31652
1959.67706,101.42561
1967.39232,101.66261
1975.10758,101.83508
1982.82285,101.96226
1990.53811,102.00448
1998.25338,102.01123
2005.96864,101.92608
2013.6839,101.90536
2021.39917,101.97377
2029.11443,102.00976
2036.8297,101.92763
2044.54496,101.94358
2052.26022,101.98412
2059.97549,101.9408
2067.69075,101.82601
2075.40602,101.83745
2083.12128,101.83668
2090.83654,101.83838
2098.55181,101.88062
2106.26707,101.95123
2113.98234,102.04315
2121.6976,102.10367
2129.41286,102.0894
2137.12813,102.06346
2144.84339,102.05997
2152.55866,102.12396
2160.27392,102.15819
2167.98918,102.17046
2175.70445,102.13436
2183.41971,102.09267
2191.13498,102.1162
2198.85024,102.19869
2206.5655,102.23968
2214.28077,102.26313
2221.99603,102.22464
2229.7113,102.21387
2237.42656,102.17055
2245.14182,102.1125
2252.85709,102.12456
2260.57235,102.11228
2268.28762,102.09859
2276.00288,102.12307
2283.71814,102.09059
2291.43341,102.02751
2299.14867,101.9903
2306.86394,102.03741
2314.5792,102.03762
2322.29446,101.9949
2330.00973,101.9626
2337.72499,102.01716
2345.44026,102.03062
2353.15552,101.96808
2360.87078,101.85842
2368.58605,101.84781
2376.30131,101.85575
2384.01658,101.83482
2391.73184,101.77555
2399.4471,101.79803
2407.16237,101.8815
2414.87763,101.93477
2422.5929,101.97845
2430.30816,101.98404
2438.02342,102.00459
2445.73869,101.94808
2453.45395,101.86517
2461.16922,101.84861
2468.88448,101.83099
2476.59974,101.77557
2484.31501,101.67551
2492.03027,101.56678
2499.74554,101.47961
2507.4608,101.44857
2515.17606,101.4224
2522.89133,101.3385
2530.60659,101.20162
2538.32186,101.13203
2546.03712,101.00755
2553.75238,100.95521
2561.46765,100.99048
2569.18291,101.10635
2576.89818,101.26413
2584.61344,101.28631
2592.3287,101.22219
2600.04397,101.22051
2607.75923,101.27961
2615.4745,101.32965
2623.18976,101.27503
2630.90502,101.24857
2638.62029,101.27425
2646.33555,101.25452
2654.05082,101.19193
2661.76608,101.12519
2669.48134,101.10349
2677.19661,101.19387
2684.91187,101.30246
2692.62714,101.29573
2700.3424,101.31056
2708.05766,101.3857
2715.77293,101.43617
2723.48819,101.41293
2731.20346,101.37781
2738.91872,101.40692
2746.63398,101.47405
2754.34925,101.50377
2762.06451,101.44741
2769.77978,101.35805
2777.49504,101.28194
2785.2103,101.23738
2792.92557,101.16358
2800.64083,101.09307
2808.3561,100.8857
2816.07136,100.51011
2823.78662,99.59292
2831.50189,98.84955
2839.21715,99.44706
2846.93242,100.13187
2854.64768,100.31504
2862.36294,100.42463
2870.07821,100.39434
2877.79347,100.20313
2885.50874,99.78033
2893.224,99.16086
2900.93926,98.60101
2908.65453,98.60944
2916.36979,99.0642
2924.08506,99.17418
2931.80032,98.70809
2939.51558,98.05504
2947.23085,98.01756
2954.94611,98.50848
2962.66138,99.20087
2970.37664,99.96929
2978.0919,100.28468
2985.80717,100.20352
2993.52243,100.17999
3001.2377,100.3327
3008.95296,100.63028
3016.66822,100.98311
3024.38349,101.27234
3032.09875,101.42772
3039.81402,101.43161
3047.52928,101.42469
3055.24454,101.47091
3062.95981,101.48145
3070.67507,101.53292
3078.39034,101.61079
3086.1056,101.67289
3093.82086,101.76958
3101.53613,101.80435
3109.25139,101.83633
3116.96666,101.84831
3124.68192,101.85125
3132.39718,101.92857
3140.11245,101.95717
3147.82771,101.92899
3155.54298,101.97968
3163.25824,102.03168
3170.9735,102.09632
3178.68877,102.15947
3186.40403,102.16636
3194.1193,102.2583
3201.83456,102.25648
3209.54982,102.15976
3217.26509,102.16687
3224.98035,102.20856
3232.69562,102.37038
3240.41088,102.45993
3248.12614,102.39398
3255.84141,102.37833
3263.55667,102.39229
3271.27194,102.36309
3278.9872,102.37989
3286.70246,102.41066
3294.41773,102.37935
3302.13299,102.3672
3309.84826,102.39374
3317.56352,102.30057
3325.27878,102.42904
3332.99405,102.52636
3340.70931,102.4817
3348.42458,102.4706
3356.13984,102.48276
3363.8551,102.49177
3371.57037,102.45996
3379.28563,102.42633
3387.0009,102.43448
3394.71616,102.56829
3402.43142,102.5846
3410.14669,102.43399
3417.86195,102.28115
3425.57722,102.13391
3433.29248,102.09838
3441.00774,102.19643
3448.72301,102.30281
3456.43827,102.32188
3464.15354,102.37547
3471.8688,102.37693
3479.58406,102.50891
3487.29933,102.51371
3495.01459,102.42195
3502.72986,102.41587
3510.44512,102.38796
3518.16038,102.33173
3525.87565,102.43375
3533.59091,102.49948
3541.30618,102.45704
3549.02144,102.42061
3556.7367,102.46475
3564.45197,102.50279
3572.16723,102.60105
3579.8825,102.65062
3587.59776,102.67671
3595.31302,102.70825
3603.02829,102.70981
3610.74355,102.71313
3618.45882,102.67346
3626.17408,102.6781
3633.88934,102.7279
3641.60461,102.76662
3649.31987,102.85246
3657.03514,102.8866
3664.7504,102.88163
3672.46566,102.78273
3680.18093,102.70235
3687.89619,102.77041
3695.61146,102.88287
3703.32672,102.9531
3711.04198,103.04585
3718.75725,103.07452
3726.47251,103.01661
3734.18778,103.01406
3741.90304,103.03422
3749.6183,103.01077
3757.33357,103.06127
3765.04883,103.12218
3772.7641,103.16687
3780.47936,103.15756
3788.19462,103.06602
3795.90989,103.06903
3803.62515,103.1342
3811.34042,103.09606
3819.05568,102.97363
3826.77094,102.9143
3834.48621,102.97104
3842.20147,103.01675
3849.91674,103.02031
3857.632,103.03167
3865.34726,102.97809
3873.06253,102.93921
3880.77779,102.90017
3888.49306,102.80573
3896.20832,102.83513
3903.92358,102.94777
3911.63885,103.00693
3919.35411,102.96843
3927.06938,103.00122
3934.78464,102.98073
3942.4999,102.91141
3950.21517,102.91884
3957.93043,103.02056
3965.6457,103.01683
3973.36096,102.9798
3981.07622,103.00844
3988.79149,102.92587
3996.50675,102.82341
4004.22202,102.85282
